,Identifier,RMSE
98,MS-DAR-00027-00002-000-00211_south,4.84876087717839e-17
99,MS-DAR-00053-00001-000-00501_south,5.472837830021847e-17
100,MS-DAR-00209-00014-000-00058_south,5.556075201031293e-17
101,MS-DAR-00070-000-00014_south,5.727650938156393e-17
102,MS-DAR-00209-00001-000-00108_south,6.215829799900234e-17
103,MS-DAR-00209-00014-000-00289_south,6.255824993319372e-17
104,MS-DAR-00205-00011-000-00200_south,6.799294644800292e-17
105,MS-DAR-00070-000-00188_south,7.736517101504428e-17
106,MS-DAR-00205-00003-000-00432_south,9.406432336778134e-17
107,MS-DAR-00209-00010-000-00032_south,1.037955109219276e-16
108,MS-DAR-00209-00014-000-00105_south,1.0425939970671054e-16
109,MS-DAR-00209-00001-000-00169_south,1.0827674617358929e-16
110,MS-DAR-00053-00001-000-00502_south,1.0908850197824386e-16
111,MS-DAR-00209-00001-000-00109_south,1.1863998232747643e-16
112,MS-DAR-00053-00001-000-00505_south,1.2593054102962725e-16
113,MS-DAR-00209-00009-000-00102_south,1.2720882302562708e-16
114,MS-DAR-00205-00011-000-00203_south,1.315988176185917e-16
115,MS-DAR-00209-00001-000-00255_south,1.4224628442392503e-16
116,MS-DAR-00209-00014-000-00165_south,1.5138316888752745e-16
117,MS-DAR-00209-00014-000-00277_south,1.5850585918742144e-16
118,MS-DAR-00209-00014-000-00184_south,1.6048540780295923e-16
119,MS-DAR-00209-00010-000-00058_south,1.7570947961515359e-16
120,MS-DAR-00209-00001-000-00280_south,2.1645523088858157e-16
121,MS-DAR-00049-000-00199_south,2.305614807667383e-16
122,MS-DAR-00205-00011-000-00201_south,2.418835664634793e-16
123,MS-DAR-00209-00009-000-00058_south,2.4365305868481787e-16
124,MS-DAR-00209-00014-000-00221_south,2.668542569093984e-16
125,MS-DAR-00011-00002-000-00167_south,2.769382064764472e-16
126,MS-DAR-00070-000-00172_south,2.8807482913260053e-16
127,MS-DAR-00004-000-00294_south,3.0842342843311143e-16
128,MS-DAR-00004-000-00290_south,3.275728602808035e-16
129,MS-DAR-00209-00014-000-00161_south,3.305073297500772e-16
130,MS-DAR-00053-00001-000-00500_south,3.6239581578781625e-16
131,MS-DAR-00209-00008-000-00024_north,3.6268564093956014e-16
132,MS-DAR-00209-00010-000-00016_south,3.8755984831214705e-16
133,MS-DAR-00205-00011-000-00202_south,3.9966522986151893e-16
134,MS-DAR-00089-000-00338_south,5.507248131220048e-16
135,MS-DAR-00205-00009-000-00880_south,6.463325184943832e-16
136,MS-DAR-00004-000-00138_south,6.695220407191913e-16
137,MS-DAR-00209-00008-000-00191_south,7.17820822230063e-16
138,MS-DAR-00209-00014-000-00220_south,8.008035467659697e-16
139,MS-DAR-00050-000-00040_south,9.971745410379654e-16
140,MS-DAR-00205-00010-000-00211_south,1.233733222455961e-15
141,MS-DAR-00209-00001-000-00256_south,1.572565254241218e-15
142,MS-DAR-00209-00010-000-00031_south,1.8002002133301498e-15
143,MS-DAR-00209-00010-000-00165_south,1.8221055329866116e-15
144,MS-DAR-00049-000-00319_north,1.82715818157509e-15
145,MS-DAR-00009-000-00091_north,2.0259669042719526e-15
146,MS-DAR-00209-00010-000-00129_south,2.238237811644041e-15
147,MS-DAR-00208-000-00006_north,2.455302571217286e-15
148,MS-DAR-00053-00001-000-00508_north,2.515867197940568e-15
149,MS-DAR-00009-000-00085_north,2.6451360520524924e-15
150,MS-DAR-00209-00010-000-00015_south,2.9056953396434553e-15
151,MS-DAR-00004-000-00294_north,3.072600277894755e-15
152,MS-DAR-00208-000-00008_north,3.336970121018042e-15
153,MS-DAR-00053-00001-000-00498_north,3.415591231553958e-15
154,MS-DAR-00209-00010-000-00057_south,3.501216273347324e-15
155,MS-DAR-00049-000-00199_north,3.595391743169776e-15
156,MS-DAR-00085-000-00200_north,4.1110109973302726e-15
157,MS-DAR-00209-00001-000-00186_south,5.065958004048725e-15
158,MS-DAR-00185-000-00522_north,5.225632114664309e-15
159,MS-DAR-00048-000-00313_north,6.569280607155855e-15
160,MS-DAR-00049-000-00171_north,6.736657697677041e-15
161,MS-DAR-00027-00002-000-00212_north,7.852841028321357e-15
162,MS-DAR-00070-000-00187_north,8.301239838812156e-15
