"RegionId","Points:0","Points:1","Points:2"
0,2199,776.5,0
0,2198.5,777,0
0,2199.5,777,0
0,2223,776.5,0
0,2222.5,777,0
0,2223.5,777,0
0,2197,777.5,0
0,2196.5,778,0
0,2198,777.5,0
0,2200,777.5,0
0,2201,777.5,0
0,2202,777.5,0
0,2203,777.5,0
0,2204,777.5,0
0,2205,777.5,0
0,2206,777.5,0
0,2207,777.5,0
0,2208,777.5,0
0,2209,777.5,0
0,2209.5,778,0
0,2219,777.5,0
0,2218.5,778,0
0,2220,777.5,0
0,2221,777.5,0
0,2222,777.5,0
0,2224,777.5,0
0,2225,777.5,0
0,2226,777.5,0
0,2226.5,778,0
0,2187,778.5,0
0,2186.5,779,0
0,2188,778.5,0
0,2189,778.5,0
0,2190,778.5,0
0,2191,778.5,0
0,2192,778.5,0
0,2193,778.5,0
0,2194,778.5,0
0,2195,778.5,0
0,2196,778.5,0
0,2210,778.5,0
0,2211,778.5,0
0,2212,778.5,0
0,2213,778.5,0
0,2213.5,779,0
0,2218,778.5,0
0,2217.5,779,0
0,2227,778.5,0
0,2228,778.5,0
0,2229,778.5,0
0,2229.5,779,0
0,2185,779.5,0
0,2184.5,780,0
0,2186,779.5,0
0,2214,779.5,0
0,2215,779.5,0
0,2216,779.5,0
0,2217,779.5,0
0,2230,779.5,0
0,2230.5,780,0
0,2182,780.5,0
0,2181.5,781,0
0,2183,780.5,0
0,2184,780.5,0
0,2231,780.5,0
0,2231.5,781,0
0,2171,781.5,0
0,2170.5,782,0
0,2172,781.5,0
0,2173,781.5,0
0,2174,781.5,0
0,2175,781.5,0
0,2176,781.5,0
0,2177,781.5,0
0,2178,781.5,0
0,2179,781.5,0
0,2180,781.5,0
0,2181,781.5,0
0,2232,781.5,0
0,2233,781.5,0
0,2234,781.5,0
0,2235,781.5,0
0,2235.5,782,0
0,2167,782.5,0
0,2166.5,783,0
0,2168,782.5,0
0,2169,782.5,0
0,2170,782.5,0
0,2236,782.5,0
0,2237,782.5,0
0,2238,782.5,0
0,2239,782.5,0
0,2239.5,783,0
0,2166,783.5,0
0,2165.5,784,0
0,2240,783.5,0
0,2241,783.5,0
0,2241.5,784,0
0,2165,784.5,0
0,2164.5,785,0
0,2242,784.5,0
0,2243,784.5,0
0,2244,784.5,0
0,2244.5,785,0
0,2155,785.5,0
0,2154.5,786,0
0,2156,785.5,0
0,2157,785.5,0
0,2158,785.5,0
0,2159,785.5,0
0,2160,785.5,0
0,2161,785.5,0
0,2161.5,786,0
0,2163,785.5,0
0,2162.5,786,0
0,2164,785.5,0
0,2245,785.5,0
0,2246,785.5,0
0,2247,785.5,0
0,2247.5,786,0
0,2150,786.5,0
0,2149.5,787,0
0,2151,786.5,0
0,2152,786.5,0
0,2153,786.5,0
0,2154,786.5,0
0,2162,786.5,0
0,2248,786.5,0
0,2249,786.5,0
0,2250,786.5,0
0,2251,786.5,0
0,2252,786.5,0
0,2253,786.5,0
0,2253.5,787,0
0,2143,787.5,0
0,2142.5,788,0
0,2144,787.5,0
0,2145,787.5,0
0,2146,787.5,0
0,2147,787.5,0
0,2148,787.5,0
0,2149,787.5,0
0,2254,787.5,0
0,2255,787.5,0
0,2255.5,788,0
0,2140,788.5,0
0,2139.5,789,0
0,2141,788.5,0
0,2142,788.5,0
0,2256,788.5,0
0,2256.5,789,0
0,2137,789.5,0
0,2136.5,790,0
0,2138,789.5,0
0,2139,789.5,0
0,2257,789.5,0
0,2258,789.5,0
0,2258.5,790,0
0,2134,790.5,0
0,2133.5,791,0
0,2135,790.5,0
0,2136,790.5,0
0,2259,790.5,0
0,2260,790.5,0
0,2260.5,791,0
0,2262,790.5,0
0,2261.5,791,0
0,2263,790.5,0
0,2263.5,791,0
0,2112,791.5,0
0,2111.5,792,0
0,2113,791.5,0
0,2114,791.5,0
0,2115,791.5,0
0,2116,791.5,0
0,2117,791.5,0
0,2118,791.5,0
0,2119,791.5,0
0,2120,791.5,0
0,2120.5,792,0
0,2132,791.5,0
0,2131.5,792,0
0,2133,791.5,0
0,2261,791.5,0
0,2264,791.5,0
0,2265,791.5,0
0,2266,791.5,0
0,2266.5,792,0
0,2111.5,793,0
0,2121,792.5,0
0,2122,792.5,0
0,2123,792.5,0
0,2124,792.5,0
0,2125,792.5,0
0,2126,792.5,0
0,2127,792.5,0
0,2128,792.5,0
0,2128.5,793,0
0,2130,792.5,0
0,2129.5,793,0
0,2131,792.5,0
0,2267,792.5,0
0,2268,792.5,0
0,2269,792.5,0
0,2270,792.5,0
0,2271,792.5,0
0,2272,792.5,0
0,2273,792.5,0
0,2274,792.5,0
0,2275,792.5,0
0,2275.5,793,0
0,2111,793.5,0
0,2110.5,794,0
0,2129,793.5,0
0,2276,793.5,0
0,2277,793.5,0
0,2278,793.5,0
0,2279,793.5,0
0,2280,793.5,0
0,2281,793.5,0
0,2282,793.5,0
0,2283,793.5,0
0,2284,793.5,0
0,2285,793.5,0
0,2286,793.5,0
0,2287,793.5,0
0,2288,793.5,0
0,2289,793.5,0
0,2290,793.5,0
0,2291,793.5,0
0,2291.5,794,0
0,2103,794.5,0
0,2102.5,795,0
0,2104,794.5,0
0,2105,794.5,0
0,2106,794.5,0
0,2107,794.5,0
0,2108,794.5,0
0,2109,794.5,0
0,2110,794.5,0
0,2292,794.5,0
0,2293,794.5,0
0,2293.5,795,0
0,2099,795.5,0
0,2098.5,796,0
0,2100,795.5,0
0,2101,795.5,0
0,2102,795.5,0
0,2294,795.5,0
0,2295,795.5,0
0,2295.5,796,0
0,2096,796.5,0
0,2095.5,797,0
0,2097,796.5,0
0,2098,796.5,0
0,2296,796.5,0
0,2296.5,797,0
0,2086,797.5,0
0,2085.5,798,0
0,2087,797.5,0
0,2088,797.5,0
0,2089,797.5,0
0,2090,797.5,0
0,2091,797.5,0
0,2092,797.5,0
0,2093,797.5,0
0,2094,797.5,0
0,2095,797.5,0
0,2297,797.5,0
0,2298,797.5,0
0,2298.5,798,0
0,2084,798.5,0
0,2083.5,799,0
0,2085,798.5,0
0,2299,798.5,0
0,2300,798.5,0
0,2300.5,799,0
0,2083,799.5,0
0,2082.5,800,0
0,2301,799.5,0
0,2302,799.5,0
0,2302.5,800,0
0,2082.5,801,0
0,2303,800.5,0
0,2304,800.5,0
0,2305,800.5,0
0,2305.5,801,0
0,2082,801.5,0
0,2081.5,802,0
0,2306,801.5,0
0,2307,801.5,0
0,2307.5,802,0
0,2080,802.5,0
0,2079.5,803,0
0,2081,802.5,0
0,2308,802.5,0
0,2308.5,803,0
0,2079,803.5,0
0,2078.5,804,0
0,2308.5,804,0
0,2073,804.5,0
0,2072.5,805,0
0,2074,804.5,0
0,2075,804.5,0
0,2076,804.5,0
0,2077,804.5,0
0,2078,804.5,0
0,2309,804.5,0
0,2310,804.5,0
0,2310.5,805,0
0,2062,805.5,0
0,2061.5,806,0
0,2063,805.5,0
0,2063.5,806,0
0,2066,805.5,0
0,2065.5,806,0
0,2067,805.5,0
0,2068,805.5,0
0,2069,805.5,0
0,2070,805.5,0
0,2071,805.5,0
0,2072,805.5,0
0,2311,805.5,0
0,2312,805.5,0
0,2313,805.5,0
0,2314,805.5,0
0,2315,805.5,0
0,2315.5,806,0
0,2061,806.5,0
0,2060.5,807,0
0,2064,806.5,0
0,2065,806.5,0
0,2316,806.5,0
0,2316.5,807,0
0,2054,807.5,0
0,2053.5,808,0
0,2055,807.5,0
0,2056,807.5,0
0,2057,807.5,0
0,2058,807.5,0
0,2059,807.5,0
0,2060,807.5,0
0,2317,807.5,0
0,2318,807.5,0
0,2318.5,808,0
0,2052,808.5,0
0,2051.5,809,0
0,2053,808.5,0
0,2319,808.5,0
0,2320,808.5,0
0,2320.5,809,0
0,2051,809.5,0
0,2050.5,810,0
0,2321,809.5,0
0,2322,809.5,0
0,2322.5,810,0
0,2027,810.5,0
0,2026.5,811,0
0,2028,810.5,0
0,2029,810.5,0
0,2030,810.5,0
0,2031,810.5,0
0,2032,810.5,0
0,2033,810.5,0
0,2033.5,811,0
0,2036,810.5,0
0,2035.5,811,0
0,2037,810.5,0
0,2038,810.5,0
0,2039,810.5,0
0,2040,810.5,0
0,2041,810.5,0
0,2042,810.5,0
0,2043,810.5,0
0,2044,810.5,0
0,2045,810.5,0
0,2046,810.5,0
0,2046.5,811,0
0,2048,810.5,0
0,2047.5,811,0
0,2049,810.5,0
0,2050,810.5,0
0,2323,810.5,0
0,2324,810.5,0
0,2324.5,811,0
0,2024,811.5,0
0,2023.5,812,0
0,2025,811.5,0
0,2026,811.5,0
0,2034,811.5,0
0,2035,811.5,0
0,2047,811.5,0
0,2325,811.5,0
0,2325.5,812,0
0,2022,812.5,0
0,2021.5,813,0
0,2023,812.5,0
0,2326,812.5,0
0,2326.5,813,0
0,2020,813.5,0
0,2019.5,814,0
0,2021,813.5,0
0,2327,813.5,0
0,2327.5,814,0
0,2017,814.5,0
0,2016.5,815,0
0,2018,814.5,0
0,2019,814.5,0
0,2327.5,815,0
0,2015,815.5,0
0,2014.5,816,0
0,2016,815.5,0
0,2328,815.5,0
0,2328.5,816,0
0,2014,816.5,0
0,2013.5,817,0
0,2329,816.5,0
0,2329.5,817,0
0,2013,817.5,0
0,2012.5,818,0
0,2329.5,818,0
0,2012,818.5,0
0,2011.5,819,0
0,2330,818.5,0
0,2330.5,819,0
0,2005,819.5,0
0,2004.5,820,0
0,2006,819.5,0
0,2007,819.5,0
0,2008,819.5,0
0,2009,819.5,0
0,2010,819.5,0
0,2011,819.5,0
0,2331,819.5,0
0,2331.5,820,0
0,2002,820.5,0
0,2001.5,821,0
0,2003,820.5,0
0,2004,820.5,0
0,2332,820.5,0
0,2332.5,821,0
0,2001.5,822,0
0,2333,821.5,0
0,2333.5,822,0
0,2001,822.5,0
0,2000.5,823,0
0,2334,822.5,0
0,2334.5,823,0
0,2000.5,824,0
0,2335,823.5,0
0,2336,823.5,0
0,2336.5,824,0
0,1999,824.5,0
0,1998.5,825,0
0,2000,824.5,0
0,2337,824.5,0
0,2337.5,825,0
0,1997,825.5,0
0,1996.5,826,0
0,1998,825.5,0
0,2338,825.5,0
0,2338.5,826,0
0,1996,826.5,0
0,1995.5,827,0
0,2338.5,827,0
0,1995,827.5,0
0,1994.5,828,0
0,2339,827.5,0
0,2339.5,828,0
0,1994,828.5,0
0,1993.5,829,0
0,2340,828.5,0
0,2340.5,829,0
0,1991,829.5,0
0,1990.5,830,0
0,1992,829.5,0
0,1993,829.5,0
0,2341,829.5,0
0,2342,829.5,0
0,2343,829.5,0
0,2344,829.5,0
0,2344.5,830,0
0,1990.5,831,0
0,2345,830.5,0
0,2345.5,831,0
0,1988,831.5,0
0,1987.5,832,0
0,1989,831.5,0
0,1990,831.5,0
0,2346,831.5,0
0,2346.5,832,0
0,1987.5,833,0
0,2347,832.5,0
0,2347.5,833,0
0,1987,833.5,0
0,1986.5,834,0
0,2348,833.5,0
0,2349,833.5,0
0,2349.5,834,0
0,1986.5,835,0
0,2350,834.5,0
0,2351,834.5,0
