"RegionId","Points:0","Points:1","Points:2"
1,484,2545.5,0
1,483.5,2546,0
1,485,2545.5,0
1,486,2545.5,0
1,487,2545.5,0
1,488,2545.5,0
1,489,2545.5,0
1,490,2545.5,0
1,491,2545.5,0
1,492,2545.5,0
1,492.5,2546,0
1,465,2546.5,0
1,464.5,2547,0
1,466,2546.5,0
1,467,2546.5,0
1,468,2546.5,0
1,469,2546.5,0
1,470,2546.5,0
1,471,2546.5,0
1,472,2546.5,0
1,473,2546.5,0
1,474,2546.5,0
1,475,2546.5,0
1,476,2546.5,0
1,477,2546.5,0
1,478,2546.5,0
1,479,2546.5,0
1,480,2546.5,0
1,481,2546.5,0
1,482,2546.5,0
1,483,2546.5,0
1,493,2546.5,0
1,494,2546.5,0
1,495,2546.5,0
1,496,2546.5,0
1,497,2546.5,0
1,498,2546.5,0
1,499,2546.5,0
1,500,2546.5,0
1,464,2547.5,0
1,463.5,2548,0
1,463.5,2549,0
1,463.5,2550,0
1,464,2550.5,0
1,464.5,2551,0
1,464.5,2552,0
1,464.5,2553,0
1,464.5,2554,0
1,464.5,2555,0
1,464.5,2556,0
1,464.5,2557,0
1,464.5,2558,0
1,465,2558.5,0
1,465.5,2559,0
1,465.5,2560,0
1,466,2560.5,0
1,466.5,2561,0
1,466.5,2562,0
1,466.5,2563,0
1,466.5,2564,0
1,467,2564.5,0
1,467.5,2565,0
1,467.5,2566,0
1,467.5,2567,0
1,467.5,2568,0
1,467.5,2569,0
1,467.5,2570,0
1,467.5,2571,0
1,467.5,2572,0
1,467.5,2573,0
1,467.5,2574,0
1,467.5,2575,0
1,467.5,2576,0
1,467.5,2577,0
1,467.5,2578,0
1,467,2578.5,0
1,466.5,2579,0
1,466.5,2580,0
1,466.5,2581,0
1,466.5,2582,0
1,466.5,2583,0
1,466.5,2584,0
1,466.5,2585,0
1,466,2585.5,0
1,465.5,2586,0
1,465.5,2587,0
1,465.5,2588,0
1,465.5,2589,0
1,465.5,2590,0
1,465.5,2591,0
1,465.5,2592,0
1,465.5,2593,0
1,465,2593.5,0
1,464.5,2594,0
1,464.5,2595,0
1,464.5,2596,0
1,464.5,2597,0
1,464.5,2598,0
1,464,2598.5,0
1,463.5,2599,0
1,463.5,2600,0
1,463.5,2601,0
1,463.5,2602,0
1,463.5,2603,0
1,463.5,2604,0
1,463.5,2605,0
1,463,2605.5,0
