"RegionId","Points:0","Points:1","Points:2"
0,507,1207.5,0
0,506.5,1208,0
0,508,1207.5,0
0,509,1207.5,0
0,510,1207.5,0
0,511,1207.5,0
0,512,1207.5,0
0,513,1207.5,0
0,514,1207.5,0
0,515,1207.5,0
0,516,1207.5,0
0,517,1207.5,0
0,517.5,1208,0
0,520,1207.5,0
0,519.5,1208,0
0,521,1207.5,0
0,522,1207.5,0
0,523,1207.5,0
0,524,1207.5,0
0,525,1207.5,0
0,526,1207.5,0
0,527,1207.5,0
0,527.5,1208,0
0,531,1207.5,0
0,530.5,1208,0
0,532,1207.5,0
0,532.5,1208,0
0,544,1207.5,0
0,543.5,1208,0
0,545,1207.5,0
0,546,1207.5,0
0,547,1207.5,0
0,547.5,1208,0
0,550,1207.5,0
0,549.5,1208,0
0,551,1207.5,0
0,551.5,1208,0
0,560,1207.5,0
0,559.5,1208,0
0,561,1207.5,0
0,562,1207.5,0
0,563,1207.5,0
0,564,1207.5,0
0,565,1207.5,0
0,566,1207.5,0
0,567,1207.5,0
0,568,1207.5,0
0,568.5,1208,0
0,500,1208.5,0
0,500,1208.5,0
0,501,1208.5,0
0,502,1208.5,0
0,503,1208.5,0
0,504,1208.5,0
0,505,1208.5,0
0,506,1208.5,0
0,518,1208.5,0
0,519,1208.5,0
0,528,1208.5,0
0,529,1208.5,0
0,530,1208.5,0
0,533,1208.5,0
0,534,1208.5,0
0,535,1208.5,0
0,536,1208.5,0
0,537,1208.5,0
0,538,1208.5,0
0,539,1208.5,0
0,540,1208.5,0
0,541,1208.5,0
0,542,1208.5,0
0,543,1208.5,0
0,548,1208.5,0
0,549,1208.5,0
0,552,1208.5,0
0,553,1208.5,0
0,554,1208.5,0
0,555,1208.5,0
0,556,1208.5,0
0,557,1208.5,0
0,558,1208.5,0
0,559,1208.5,0
0,569,1208.5,0
0,570,1208.5,0
0,571,1208.5,0
0,572,1208.5,0
0,573,1208.5,0
0,574,1208.5,0
0,575,1208.5,0
0,576,1208.5,0
0,577,1208.5,0
0,578,1208.5,0
0,579,1208.5,0
0,580,1208.5,0
0,581,1208.5,0
0,582,1208.5,0
0,583,1208.5,0
0,584,1208.5,0
0,585,1208.5,0
0,586,1208.5,0
0,587,1208.5,0
0,588,1208.5,0
0,589,1208.5,0
0,590,1208.5,0
0,591,1208.5,0
0,592,1208.5,0
0,593,1208.5,0
0,594,1208.5,0
0,595,1208.5,0
0,596,1208.5,0
0,597,1208.5,0
0,598,1208.5,0
0,599,1208.5,0
0,600,1208.5,0
0,601,1208.5,0
0,602,1208.5,0
0,603,1208.5,0
0,604,1208.5,0
0,605,1208.5,0
0,606,1208.5,0
0,607,1208.5,0
0,608,1208.5,0
0,609,1208.5,0
0,610,1208.5,0
0,611,1208.5,0
0,612,1208.5,0
0,613,1208.5,0
0,614,1208.5,0
0,615,1208.5,0
0,616,1208.5,0
0,617,1208.5,0
0,618,1208.5,0
0,619,1208.5,0
0,620,1208.5,0
0,621,1208.5,0
0,622,1208.5,0
0,623,1208.5,0
0,624,1208.5,0
0,625,1208.5,0
0,626,1208.5,0
0,627,1208.5,0
0,628,1208.5,0
0,629,1208.5,0
0,630,1208.5,0
0,631,1208.5,0
0,632,1208.5,0
0,633,1208.5,0
0,634,1208.5,0
0,635,1208.5,0
0,636,1208.5,0
0,637,1208.5,0
0,638,1208.5,0
0,639,1208.5,0
0,640,1208.5,0
0,641,1208.5,0
0,641.5,1209,0
0,642,1209.5,0
0,643,1209.5,0
0,644,1209.5,0
0,645,1209.5,0
0,646,1209.5,0
0,647,1209.5,0
0,648,1209.5,0
0,649,1209.5,0
0,650,1209.5,0
0,651,1209.5,0
0,652,1209.5,0
0,653,1209.5,0
0,654,1209.5,0
0,655,1209.5,0
0,656,1209.5,0
0,657,1209.5,0
0,658,1209.5,0
0,659,1209.5,0
0,660,1209.5,0
0,661,1209.5,0
0,662,1209.5,0
0,663,1209.5,0
0,664,1209.5,0
0,665,1209.5,0
0,666,1209.5,0
0,667,1209.5,0
0,668,1209.5,0
