file_name,eid,class_mark,sort_class_mark,orientation
138476,MS-DAR-00209-00015-000-00129.jpg,DAR 209.15: 61v,DAR 00209.00015: 00061V,v
89143,MS-DAR-00209-00015-000-00128.jpg,DAR 209.15: 61r,DAR 00209.00015: 00061R,r
138475,MS-DAR-00209-00015-000-00127.jpg,DAR 209.15: 60v,DAR 00209.00015: 00060V,v
34229,MS-DAR-00209-00015-000-00126.jpg,DAR 209.15: 60r,DAR 00209.00015: 00060R,r
138412,MS-DAR-00209-00015-000-00125.jpg,DAR 209.15: 59r-left,DAR 00209.00015: 00059r 2,
89156,MS-DAR-00209-00015-000-00124.jpg,DAR 209.15: 59v,DAR 00209.00015: 00059v,v
89155,MS-DAR-00209-00015-000-00123.jpg,DAR 209.15: 59r-right,DAR 00209.00015: 00059r 1,
138474,MS-DAR-00209-00015-000-00122.jpg,DAR 209.15: 58v,DAR 00209.00015: 00058V,v
89140,MS-DAR-00209-00015-000-00121.jpg,DAR 209.15: 58r,DAR 00209.00015: 00058R,r
138473,MS-DAR-00209-00015-000-00120.jpg,DAR 209.15: 57v,DAR 00209.00015: 00057V,v
89139,MS-DAR-00209-00015-000-00119.jpg,DAR 209.15: 57r,DAR 00209.00015: 00057R,r
138472,MS-DAR-00209-00015-000-00118.jpg,DAR 209.15: 56v,DAR 00209.00015: 00056V,v
89138,MS-DAR-00209-00015-000-00117.jpg,DAR 209.15: 56r,DAR 00209.00015: 00056R,r
138471,MS-DAR-00209-00015-000-00116.jpg,DAR 209.15: 55v,DAR 00209.00015: 00055V,v
89137,MS-DAR-00209-00015-000-00115.jpg,DAR 209.15: 55r,DAR 00209.00015: 00055R,r
138470,MS-DAR-00209-00015-000-00114.jpg,DAR 209.15: 54v,DAR 00209.00015: 00054V,v
89136,MS-DAR-00209-00015-000-00113.jpg,DAR 209.15: 54r,DAR 00209.00015: 00054R,r
138469,MS-DAR-00209-00015-000-00112.jpg,DAR 209.15: 53v,DAR 00209.00015: 00053V,v
89135,MS-DAR-00209-00015-000-00111.jpg,DAR 209.15: 53r,DAR 00209.00015: 00053R,r
138468,MS-DAR-00209-00015-000-00110.jpg,DAR 209.15: 52v,DAR 00209.00015: 00052V,v
89134,MS-DAR-00209-00015-000-00109.jpg,DAR 209.15: 52r,DAR 00209.00015: 00052R,r
138467,MS-DAR-00209-00015-000-00108.jpg,DAR 209.15: 51v,DAR 00209.00015: 00051V,v
89133,MS-DAR-00209-00015-000-00107.jpg,DAR 209.15: 51r,DAR 00209.00015: 00051R,r
138466,MS-DAR-00209-00015-000-00106.jpg,DAR 209.15: 50v,DAR 00209.00015: 00050V,v
89132,MS-DAR-00209-00015-000-00105.jpg,DAR 209.15: 50r,DAR 00209.00015: 00050R,r
138465,MS-DAR-00209-00015-000-00104.jpg,DAR 209.15: 49v,DAR 00209.00015: 00049V,v
89131,MS-DAR-00209-00015-000-00103.jpg,DAR 209.15: 49r,DAR 00209.00015: 00049R,r
138464,MS-DAR-00209-00015-000-00102.jpg,DAR 209.15: 48v,DAR 00209.00015: 00048V,v
89130,MS-DAR-00209-00015-000-00101.jpg,DAR 209.15: 48r,DAR 00209.00015: 00048R,r
138463,MS-DAR-00209-00015-000-00100.jpg,DAR 209.15: 47v,DAR 00209.00015: 00047V,v
89129,MS-DAR-00209-00015-000-00099.jpg,DAR 209.15: 47r,DAR 00209.00015: 00047R,r
89154,MS-DAR-00209-00015-000-00098.jpg,DAR 209.15: 46v,DAR 00209.00015: 00046v,v
89128,MS-DAR-00209-00015-000-00097.jpg,DAR 209.15: 46r,DAR 00209.00015: 00046r,r
138462,MS-DAR-00209-00015-000-00096.jpg,DAR 209.15: 45v,DAR 00209.00015: 00045V,v
21648,MS-DAR-00209-00015-000-00095.jpg,DAR 209.15: 45r,DAR 00209.00015: 00045R,r
138461,MS-DAR-00209-00015-000-00094.jpg,DAR 209.15: 44dv,DAR 00209.00015: 00044DV,v
138392,MS-DAR-00209-00015-000-00093.jpg,DAR 209.15: 44dr,DAR 00209.00015: 00044DR,r
138460,MS-DAR-00209-00015-000-00092.jpg,DAR 209.15: 44cv,DAR 00209.00015: 00044CV,v
138391,MS-DAR-00209-00015-000-00091.jpg,DAR 209.15: 44cr,DAR 00209.00015: 00044CR,r
138459,MS-DAR-00209-00015-000-00090.jpg,DAR 209.15: 44bv,DAR 00209.00015: 00044BV,v
138411,MS-DAR-00209-00015-000-00089.jpg,DAR 209.15: 44br,DAR 00209.00015: 00044BR,r
138458,MS-DAR-00209-00015-000-00088.jpg,DAR 209.15: 44av,DAR 00209.00015: 00044AV,v
138410,MS-DAR-00209-00015-000-00087.jpg,DAR 209.15: 44ar,DAR 00209.00015: 00044AR,r
138456,MS-DAR-00209-00015-000-00086.jpg,DAR 209.15: 43v,DAR 00209.00015: 00043V,v
138455,MS-DAR-00209-00015-000-00085.jpg,DAR 209.15: 43r,DAR 00209.00015: 00043R,r
138486,MS-DAR-00209-00015-000-00084.jpg,DAR 209.15: 19-40[archive]v,DAR 00209.00015: 00042xv,v
138485,MS-DAR-00209-00015-000-00083.jpg,DAR 209.15: 19-40[archive]r,DAR 00209.00015: 00042xr,r
138454,MS-DAR-00209-00015-000-00082.jpg,DAR 209.15: 42v,DAR 00209.00015: 00042V,v
21612,MS-DAR-00209-00015-000-00081.jpg,DAR 209.15: 42r,DAR 00209.00015: 00042R,r
138453,MS-DAR-00209-00015-000-00080.jpg,DAR 209.15: 41v,DAR 00209.00015: 00041V,v
